名字,网址,顶级域名
数学与系统科学研究院,http://www.amss.cas.cn,amss.cas.cn
物理研究所,http://www.iop.cas.cn,iop.cas.cn
理论物理研究所,http://www.itp.cas.cn,itp.cas.cn
高能物理研究所,http://www.ihep.cas.cn,ihep.cas.cn
力学研究所,http://www.imech.cas.cn,imech.cas.cn
声学研究所,http://www.ioa.cas.cn,ioa.cas.cn
理化技术研究所,http://www.ipc.cas.cn,ipc.cas.cn
化学研究所,http://www.ic.cas.cn,ic.cas.cn
国家纳米科学中心,http://www.nanoctr.cas.cn,nanoctr.cas.cn
生态环境研究中心,http://www.rcees.cas.cn,rcees.cas.cn
过程工程研究所,http://www.ipe.cas.cn,ipe.cas.cn
地理科学与资源研究所,http://www.igsnrr.cas.cn,igsnrr.cas.cn
国家天文台,http://www.nao.cas.cn,nao.cas.cn
云南天文台,http://www.ynao.cas.cn/,ynao.cas.cn
新疆天文台,http://www.xao.ac.cn/,xao.ac.cn
长春人造卫星观测站,http://www.cho.ac.cn/,cho.ac.cn
南京天文光学技术研究所,http://www.niaot.cas.cn/,niaot.cas.cn
遥感与数字地球研究所,http://www.radi.cas.cn/,radi.cas.cn
地质与地球物理研究所,http://www.igg.cas.cn,igg.cas.cn
兰州油气资源研究中心,http://www.lig.cas.cn/,lig.cas.cn
青藏高原研究所,http://www.itpcas.cas.cn,itpcas.cas.cn
古脊椎动物与古人类研究所,http://www.ivpp.cas.cn,ivpp.cas.cn
大气物理研究所,http://www.iap.cas.cn,iap.cas.cn
植物研究所,http://www.ib.cas.cn,ib.cas.cn
动物研究所,http://www.ioz.cas.cn,ioz.cas.cn
心理研究所,http://www.psych.cas.cn,psych.cas.cn
微生物研究所,http://www.im.cas.cn,im.cas.cn
生物物理研究所,http://www.ibp.cas.cn,ibp.cas.cn
遗传与发育生物学研究所,http://www.genetics.cas.cn,genetics.cas.cn
农业资源研究中心,http://www.sjziam.cas.cn/,sjziam.cas.cn
北京基因组研究所,http://www.big.cas.cn,big.cas.cn
计算技术研究所,http://www.ict.cas.cn,ict.cas.cn
软件研究所,http://www.is.cas.cn,is.cas.cn
半导体研究所,http://www.semi.cas.cn,semi.cas.cn
微电子研究所,http://www.ime.cas.cn,ime.cas.cn
电子学研究所,http://www.ie.cas.cn,ie.cas.cn
自动化研究所,http://www.ia.cas.cn,ia.cas.cn
电工研究所,http://www.iee.cas.cn,iee.cas.cn
工程热物理研究所,http://www.iet.cas.cn,iet.cas.cn
国家空间科学中心,http://www.nssc.cas.cn,nssc.cas.cn
光电研究院,http://www.aoe.cas.cn,aoe.cas.cn
自然科学史研究所,http://www.ihns.cas.cn,ihns.cas.cn
科技战略咨询研究院,http://www.casisd.cn/,casisd.cn
信息工程研究所,http://www.iie.cas.cn/,iie.cas.cn
空间应用工程与技术中心,http://www.csu.cas.cn/,csu.cas.cn
北京综合研究中心,http://www.basic.cas.cn/,basic.cas.cn
天津工业生物技术研究所,http://www.tib.cas.cn,tib.cas.cn
山西煤炭化学研究所,http://www.sxicc.cas.cn,sxicc.cas.cn
数据与通信保护研究教育中心,http://dacas.iie.cas.cn/,dacas.iie.cas.cn
大连化学物理研究所,http://www.dicp.cas.cn,dicp.cas.cn
金属研究所,http://www.imr.cas.cn,imr.cas.cn
沈阳应用生态研究所,http://www.iae.cas.cn,iae.cas.cn
沈阳自动化研究所,http://www.sia.cas.cn,sia.cas.cn
海洋研究所,http://www.qdio.cas.cn,qdio.cas.cn
青岛生物能源与过程研究所,http://www.qibebt.cas.cn,qibebt.cas.cn
烟台海岸带研究所,http://www.yic.cas.cn,yic.cas.cn
长春光学精密机械与物理研究所,http://www.ciomp.cas.cn,ciomp.cas.cn
长春应用化学研究所,http://www.ciac.cas.cn,ciac.cas.cn
东北地理与农业生态研究所,http://www.neigae.cas.cn,neigae.cas.cn
农业技术中心,http://www.neigaehrb.cas.cn/,neigaehrb.cas.cn
上海微系统与信息技术研究所,http://www.sim.cas.cn/,sim.cas.cn
上海技术物理研究所,http://www.sitp.cas.cn,sitp.cas.cn
上海光学精密机械研究所,http://www.siom.cas.cn,siom.cas.cn
上海硅酸盐研究所,http://www.sic.cas.cn,sic.cas.cn
上海有机化学研究所,http://www.sioc.cas.cn,sioc.cas.cn
上海应用物理研究所,http://www.sinap.cas.cn,sinap.cas.cn
上海天文台,http://www.shao.cas.cn,shao.cas.cn
上海生命科学研究院,http://www.sibs.cas.cn,sibs.cas.cn
上海巴斯德研究所,http://www.shanghaipasteur.cas.cn,shanghaipasteur.cas.cn
上海药物研究所,http://www.simm.cas.cn,simm.cas.cn
上海高等研究院,http://www.sari.cas.cn,sari.cas.cn
宁波材料技术与工程研究所,http://www.nimte.cas.cn,nimte.cas.cn
